CitationNumber,Long-acting,Drug,Analyte,Route,Matrix,Dose,LambdaZHl,CAS,PubChemCID,SMILES,LambdaZHl_log
9015685,,Ractopamine hydrochloride,Ractopamine,Intraruminal,Liver,1.12,83.63,90274-24-1,14010333,CC(CCC1=CC=C(C=C1)O)NCC(C2=CC=C(C=C2)O)O.Cl,4.426402319350866
9017482,,Lactose,Lactose,Intravenous,Plasma,500.0,83.52,5965-66-2,6134,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,4.425086136107509
9017280,,Flunixin meglumine,Flunixin (5-hydroxy flunixin metabolite),Intramuscular,Plasma,2.2,82.7,42461-84-7,39212,CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F.CNCC(C(C(C(CO)O)O)O)O,4.415219614121544
9014482,,Ceftiofur (desfuroylceftiofur metabolite),Ceftiofur (desfuroylceftiofur metabolite),Intramammary,Kidney,,79.71,120882-22-6,9576866,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CS)C(=O)O,4.378395060985309
9014632,,Pirlimycin,Pirlimycin,Intramammary,Kidney,,79.22,79548-73-5,157385,CCC1CCNC(C1)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,4.372228804816846
9005350,,Ivermectin,Ivermectin,Intraruminal,Kidney,0.3,79.1,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,4.370712887415833
9015508,,Tetracycline hydrochloride,Tetracycline,Oral,Kidney,22.0,78.76,64-75-5,54704426,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,4.3664052664677255
9001414,,Dihydrostreptomycin,Dihydrostreptomycin,Intramuscular,Kidney,,78.3,5490-27-7,21653,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(CO)O.CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(CO)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O,4.36054761576815
9016317,,Triclabendazole,Triclabendazole,Oral,Milk,11.57,77.28,68786-66-3,50248,CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,4.347435202844221
9014773,,Albendazole,Albendazole,Oral,Muscle,15.0,76.24,54965-21-8,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,4.333886272462421
9015508,,Tetracycline,Tetracycline,Oral,Kidney,22.0,75.24,60-54-8,54675776,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,4.320683017723632
9014482,,Ceftiofur (desfuroylceftiofur metabolite),Ceftiofur (desfuroylceftiofur metabolite),Intramammary,Liver,,74.63,120882-22-6,9576866,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CS)C(=O)O,4.312542584542733
9014593,,Dexamethasone disodium phosphate,Dexamethasone,Intramuscular,Liver,0.06,72.0,2392-39-4,16961,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C.[Na+].[Na+],4.2766661329049445
9005350,,Ivermectin,Ivermectin,Intraruminal,Muscle,0.3,71.8,70288-86-7,6321424,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,4.2738844899817545
9015790,,Moxidectin,Moxidectin,Intravenous,Plasma,0.2,71.3,113507-06-5,9832912,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,4.266896341445496
9015115,,Diclofenac sodium,Diclofenac,Intramuscular,Muscle,2.5,70.73,15307-79-6,5018304,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],4.258869825186171
9014861,,Cefazolin,Cefazolin,Intramammary,Milk,,70.27,25953-19-9,33255,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O,4.25234497943493
9014816,,Clenbuterol hydrochloride,Clenbuterol,Intramuscular,Liver,0.0008,69.0,21898-19-1,5702273,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O.Cl,4.2341065190900125
9014482,,Ceftiofur hydrochloride,Ceftiofur,Intramammary,Kidney,,68.76,103980-44-5,9937686,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O.Cl,4.230622195057988
9015508,,Tetracycline hydrochloride,Tetracycline,Oral,Muscle,22.0,68.51,64-75-5,54704426,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,4.226979734611217
9015115,,Diclofenac sodium,Diclofenac,Intramuscular,Fat,2.5,68.13,15307-79-6,5018304,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],4.221417659463398
9015390,,Meloxicam,Meloxicam,Subcutaneous,Liver,0.5,67.32,71125-38-7,54677470,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,4.209457384177032
9001131,,Dihydrostreptomycin,Dihydrostreptomycin,Intramammary,Milk,,67.2,5490-27-7,21653,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(CO)O.CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(CO)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O,4.207673262410056
9014688,,Zilpaterol hydrochloride,Zilpaterol,Oral,Liver,0.15,66.9,119520-06-8,11507658,CC(C)NC1CCN2C3=C(C1O)C=CC=C3NC2=O.Cl,4.203198982081866
9014482,,Ceftiofur hydrochloride,Ceftiofur,Intramammary,Muscle,,65.82,103980-44-5,9937686,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O.Cl,4.1869237587081445
9015508,,Tetracycline hydrochloride,Tetracycline,Oral,Liver,22.0,65.21,64-75-5,54704426,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,4.177612846740182
9015704,,Melengestrol acetate,Melengestrol acetate,Oral,Liver,,65.0,2919-66-6,250948,CC1=CC2C(CCC3(C2CC(=C)C3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,4.174387285280252
9014854,,carprofen,carprofen,Intramuscular,Plasma,,64.6,53716-49-7,2581,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,4.168214426268432
9014640,,Enrofloxacin,Enrofloxacin,Subcutaneous,Fat,5.0,63.82,93106-60-6,71188,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,4.156066636519166
9014700,,Ceftiofur crystalline free acid,Ceftiofur (desfuroylceftiofur metabolite),Subcutaneous,Plasma,,62.3,80370-57-6,6328657,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O,4.131961441844772
9014554,,Gamithromycin,Gamithromycin,Subcutaneous,Plasma,6.0,62.0,145435-72-9,59364992,CCCN1CC(C(C(C(OC(=O)C(C(C(C(C(CC1C)(C)O)OC2C(C(CC(O2)C)N(C)C)O)C)OC3CC(C(C(O3)C)O)(C)OC)C)CC)(C)O)O)C,4.127134401174124
9014113,,Triclabendazole,Triclabendazole (sulfone metabolite),Oral,Plasma,12.0,61.33,68786-66-3,50248,CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,4.116269135943126
9015509,,Clenbuterol,Clenbuterol,Oral,Liver,0.0008,61.2,37148-27-9,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,4.114147205858149
9015508,,Tetracycline hydrochloride,Tetracycline,Oral,Fat,22.0,60.44,64-75-5,54704426,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,4.101651153949873
9017744,,Monepantel,Monepantel (sulfone metabolite),Oral,Milk,2.5,60.3,887148-69-8,44449087,CC(COC1=C(C=CC(=C1)C#N)C(F)(F)F)(C#N)NC(=O)C2=CC=C(C=C2)SC(F)(F)F,4.0993321203168875
9017120,,Florfenicol,Florfenicol,Subcutaneous,Milk,40.0,60.24,73231-34-2,114811,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,4.098336600091904
9015508,,Tetracycline,Tetracycline,Oral,Liver,22.0,59.45,60-54-8,54675776,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,4.085135639957649
9014701,,Danofloxacin,Danofloxacin,Subcutaneous,Kidney,10.0,59.448,112398-08-0,71335,CN1CC2CC1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F,4.085101997676592
9015505,,Chlortetracycline,Chlortetracycline,Oral,Fat,10.0,58.09,57-62-5,54675777,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,4.061993549219108
9015612,,Streptomycin,Streptomycin,Intramuscular,Kidney,30.0,57.8,57-92-1,19649,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O,4.05698879297937
9019003,,Florfenicol,Florfenicol,Subcutaneous,Ileum Ultrafiltrate,40.0,57.24,73231-34-2,114811,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,4.04725297215855
9004881,,Febantel,Febantel (fenbendazole sulfone metabolite),Oral,Plasma,7.5,56.6942,58306-30-2,135449328,COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)N=C(NC(=O)OC)NC(=O)OC,4.037671930370974
9015597,,Levamisole,Levamisole,Cutaneous (topical),Muscle,10.0,56.56,14769-73-4,26879,C1CSC2=NC(CN21)C3=CC=CC=C3,4.0353020392686565
9011378,,Ceftiofur crystalline free acid,Ceftiofur (conjugated metabolite),Subcutaneous,Kidney,6.6,56.54,80370-57-6,6328657,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O,4.034948369952038
9014816,,Clenbuterol hydrochloride,Clenbuterol,Intramuscular,Kidney,0.0008,56.13,21898-19-1,5702273,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O.Cl,4.027670446769893
9015706,,Trichlorfon,Trichlorfon,Cutaneous (topical),Muscle,40.0,56.1,52-68-6,5853,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,4.027135830353963
9000461,,Penicillin G procaine,Penicillin,Intramuscular,Milk,22.572,56.1,6130-64-9,22502,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.O,4.027135830353963
9014640,,Enrofloxacin,Enrofloxacin,Subcutaneous,Kidney,5.0,55.9,93106-60-6,71188,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,4.023564398050141
9017225,,Monensin,Monensin,Oral-medicated feed,Serum,5.0,55.68,17090-79-8,441145,CCC1(CCC(O1)C2(CCC3(O2)CC(C(C(O3)C(C)C(C(C)C(=O)O)OC)C)O)C)C4C(CC(O4)C5C(CC(C(O5)(CO)O)C)C)C,4.019621033985934
9015508,,Tetracycline,Tetracycline,Intrauterine,Milk,,55.42,60-54-8,54675776,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,4.01494055747886
9015505,,Chlortetracycline,Chlortetracycline,Oral,Muscle,10.0,54.16,57-62-5,54675777,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,3.9919426470678303
9015394,,Lasalocid,Lasalocid,Oral,Liver,0.5,53.6,25999-31-9,5360807,CCC(C1C(CC(O1)(CC)C2CCC(C(O2)C)(CC)O)C)C(=O)C(C)C(C(C)CCC3=C(C(=C(C=C3)C)O)C(=O)O)O,3.9815490867334726
9015614,,Spiramycin,Spiramycin,Oral-medicated feed,Liver,16.0,53.41,8025-81-8,5289394,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,3.9779980130747643
9013648,,Flunixin,Flunixin,Intravenous,Kidney,3.6,52.7048,38677-85-9,38081,CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,3.9647065519671716
9008158,,Oxytetracycline,Oxytetracycline,Intramuscular,Plasma,27.9,51.6515,79-57-2,54675779,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,3.9445192561308007
9000461,,Chlortetracycline,Chlortetracycline,Oral,Milk,22.0,50.4,57-62-5,54675777,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,3.9199911949185924
9014878,,Bromhexine hydrochloride,Bromhexine hydrochloride,Oral,Plasma,0.25,50.0,611-75-6,5702220,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2.Cl,3.912023025428146
9014816,,Clenbuterol hydrochloride,Clenbuterol,Intramuscular,Muscle,0.0008,49.25,21898-19-1,5702273,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O.Cl,3.896909387922666
9014113,,Triclabendazole (sulfoxide metabolite),Triclabendazole (sulfone metabolite),Intravenous,Plasma,12.0,46.33,100648-13-3,127657,CS(=O)C1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,3.8357897210128433
9014113,,Triclabendazole,Triclabendazole (sulfone metabolite),Intravenous,Plasma,12.0,46.02,68786-66-3,50248,CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,3.8290761063369025
9014640,,Enrofloxacin,Enrofloxacin,Subcutaneous,Muscle,5.0,45.28,93106-60-6,71188,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F,3.812865455979733
9015674,,Oxfendazole,Oxfendazole,Oral,Liver,4.5,45.2,53716-50-0,40854,COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3,3.811097108962079
9015566,,Sulfadiazine,Sulfadiazine,Oral,Plasma,,44.48,68-35-9,5215,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,3.795039672424341
9015390,,Meloxicam,Meloxicam,Subcutaneous,Kidney,0.5,44.47,71125-38-7,54677470,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,3.7948148270096747
9015617,,Thiabendazole,Thiabendazole (5-hydroxy metabolite),Oral,Liver,75.0,44.32,148-79-8,5430,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,3.791436065002205
9015419,,Moxidectin,Moxidectin,Cutaneous (topical),Milk,0.5,43.15,113507-06-5,9832912,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,3.7646824407044077
9019117,,Fenbendazole,Fenbendazole,Oral-medicated feed,Liver,10.0,42.9,43210-67-9,3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,3.7588718492439943
9015632,,Xylazine,Xylazine,Intramuscular,Liver,0.3,42.85,7361-61-7,5707,CC1=C(C(=CC=C1)C)NC2=NCCCS2,3.7577056683810115
9018952,,Danofloxacin,Danofloxacin,Subcutaneous,Siiral Colon Untrafiltrate,8.0,42.47,112398-08-0,71335,CN1CC2CC1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F,3.748797967871212
9015509,,Clenbuterol,Clenbuterol,Oral,Muscle,0.0008,42.22,37148-27-9,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,3.7428940661056314
9016799,,Ceftiofur hydrochloride,Ceftiofur,Intramuscular,Plasma,2.2,41.9,103980-44-5,9937686,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O.Cl,3.73528585079444
9019003,,Florfenicol,Florfenicol,Intramuscular,Interstitial fluid,20.0,41.58,73231-34-2,114811,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,3.7276193064798906
9001414,,Dihydrostreptomycin,Dihydrostreptomycin,Intramuscular,Muscle,,41.3,5490-27-7,21653,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(CO)O.CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(CO)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O,3.720862524180062
9015504,,Chloramphenicol,Chloramphenicol,Oral,Plasma,50.0,41.15,56-75-7,5959,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],3.717223951424415
9015478,,Amoxicillin,Amoxicillin,Subcutaneous,Milk,11.0,41.0,26787-78-0,33613,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,3.7135720910945516
9017673,,Ceftiofur hydrochloride,Ceftiofur hydrochloride,Intramammary,Milk,,41.0,103980-44-5,9937686,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O.Cl,3.7135720910945516
9015509,,Clenbuterol,Clenbuterol,Oral,Kidney,0.0008,40.7,37148-27-9,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,3.706228117018574
9015478,,Amoxicillin,Amoxicillin,Intramuscular,Fat,17.6,40.5,26787-78-0,33613,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,3.701301998803851
9015069,,Meloxicam,Meloxicam,Oral,Plasma,0.5,40.0,71125-38-7,54677470,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,3.688879479113936
9019229,,Imidocarb,Imidocarb,Subcutaneous,Plasma,3.0,39.15,27885-92-3,21389,C1CN=C(N1)C2=CC(=CC=C2)NC(=O)NC3=CC=CC(=C3)C4=NCCN4,3.667400447979596
9015595,,Isometamidium chloride,Isometamidium chloride,Intramuscular,Muscle,73.5,39.0,6798-24-9,197856,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N=NNC5=CC=CC(=C5)C(=N)N)N.Cl.[Cl-],3.6635616717706716
9001131,,Chloramphenicol sodium succinate,Chloramphenicol,Intramammary,Milk,,38.8,982-57-0,656833,C1=CC(=CC=C1C(C(COC(=O)CCC(=O)[O-])NC(=O)C(Cl)Cl)O)[N+](=O)[O-].[Na+],3.6584202724024233
9017225,,Monensin,Monensin,Oral-medicated feed,Milk,5.0,38.68,17090-79-8,441145,CCC1(CCC(O1)C2(CCC3(O2)CC(C(C(O3)C(C)C(C(C)C(=O)O)OC)C)O)C)C4C(CC(O4)C5C(CC(C(O5)(CO)O)C)C)C,3.6553226964382475
9001131,,Spiramycin,Spiramycin,Intramammary,Milk,,38.5,8025-81-8,5289394,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,3.6506582672677643
9017412,,Ricobendazole,Ricobendazole,Subcutaneous,Plasma,3.8,37.92,54029-12-8,83969,CCCS(=O)C1=CC2=C(C=C1)N=C(N2)NC(=O)OC,3.6354787037581286
9015568,,Tetracycline,Tetracycline,Oral,Plasma,20.0,36.35,60-54-8,54675776,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,3.593194231489844
9013145,,Fenbendazole,Fenbendazole (sulfone metabolite),Oral,Plasma,5.0,36.1822,43210-67-9,3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,3.588567312832105
9017537,,Oxytetracycline hydrochloride,Oxytetracycline,Intramuscular,Transudate,20.0,34.75,2058-46-0,54680782,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl,3.5481796007877793
9014676,,Oxytetracycline,Oxytetracycline,Subcutaneous,Plasma,29.92,34.4,79-57-2,54675779,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,3.5380565934491197
9017040,,Progesterone,Progesterone,Other,Milk,,33.9,57-83-0,5994,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,3.523415043884929
9014705,,Progesterone,Progesterone,Other,Plasma,,33.8,57-83-0,5994,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,3.5204608320747712
9003060,,Flunixin meglumine,Flunixin meglumine,Intravenous,Milk,2.2,33.2,42461-84-7,39212,CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F.CNCC(C(C(C(CO)O)O)O)O,3.5025499060429244
9009236,,Tylosin,Tylosin,Intramuscular,Milk,10.0,33.1,1401-69-0,5280440,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)C)COC4C(C(C(C(O4)C)O)OC)OC,3.499533312594497
9015218,,Halofuginone,Halofuginone,Oral,Plasma,0.1,32.8,55837-20-2,400772,C1CC(C(NC1)CC(=O)CN2C=NC3=CC(=C(C=C3C2=O)Cl)Br)O,3.490428545877902
9019214,,Oxytetracycline,Oxytetracycline,Intrauterine,Plasma,8.0,32.6,79-57-2,54675779,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,3.484312319047508
9014593,,dexamethasone isonicotinate,Dexamethasone,Intramuscular,Milk,0.02,32.3212,2265-64-7,16752,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C5=CC=NC=C5)O)C)O)F)C,3.475723392615957
9014676,,Flunixin meglumine,Oxytetracycline,Subcutaneous,Plasma,1.98,32.3,42461-84-7,39212,CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F.CNCC(C(C(C(CO)O)O)O)O,3.4750672611883626
9017280,,Flunixin meglumine,Flunixin (5-hydroxy flunixin metabolite),Intravenous,Plasma,2.2,31.79,42461-84-7,39212,CC1=C(C=CC=C1NC2=C(C=CC=N2)C(=O)O)C(F)(F)F.CNCC(C(C(C(CO)O)O)O)O,3.4591518063791438
9001131,,Erythromycin,Erythromycin,Intramammary,Milk,,31.6,114-07-8,12560,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,3.4531571522384357
9015509,,Clenbuterol,Clenbuterol,Intramuscular,Muscle,0.0008,31.42,37148-27-9,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,3.4474446646543364
9016309,,Clorsulon,Clorsulon,Subcutaneous,Milk,3.0,31.2,60200-06-8,43231,C1=C(C(=CC(=C1N)S(=O)(=O)N)S(=O)(=O)N)C(=C(Cl)Cl)Cl,3.440418126866718
9014615,,Ceftiofur sodium,Ceftiofur (desfuroylceftiofur metabolite),Intramuscular,Kidney,2.2,31.0816,104010-37-9,23671563,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)[O-].[Na+],3.4366160363992497
9015614,,Spiramycin,Spiramycin,Oral-medicated feed,Kidney,16.0,30.99,8025-81-8,5289394,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,3.43366460406813
9015543,,Danofloxacin,Danofloxacin,Intramuscular,Liver,1.25,30.76,112398-08-0,71335,CN1CC2CC1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F,3.4262151771471956
9017537,,Oxytetracycline hydrochloride,Oxytetracycline,Intramuscular,Serum,20.0,30.1,2058-46-0,54680782,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl,3.404525204977421
9016459,,Tilmicosin,Tilmicosin,Subcutaneous,Serum,10.0,29.94,108050-54-0,5282521,CCC1C(C=C(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC2C(C(C(C(O2)C)O)N(C)C)O)CCN3CC(CC(C3)C)C)C)C)COC4C(C(C(C(O4)C)O)OC)OC,3.3991954123916153
9017040,,Progesterone,Progesterone,Intramuscular,Milk,,29.8,57-83-0,5994,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,3.394508427068405
9015150,,Flumequine,Flumequine,Oral,Muscle,12.0,29.51,42835-25-6,3374,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,3.3847292228416657
9008178,,Oxytetracycline,Oxytetracycline,Intramuscular,Milk,20.0,29.4707,79-57-2,54675779,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,3.3833965833686337
9018682,,Oxytetracycline hydrochloride,Oxytetracycline,Intramuscular,Milk,20.0,29.33,2058-46-0,54680782,CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl,3.3786109170841425
